Wen Gao, 0.0001419310322458536
Xin Li, 0.0001330668725233402
Wei Zhang, 0.0001183709570000217
Chin-Chen Chang, 0.00011228187096190702
Wei Wang, 0.00010495905373283141
Guanrong Chen, 0.00010241545494191464
Zhaohui Wu, 9.972482112399877e-05
Wei-Ying Ma, 9.74072721556884e-05
Bin Wang, 9.726301353073489e-05
Samuel Pierre, 9.705863952617082e-05
Hans-Peter Seidel, 9.630692366059367e-05
Francky Catthoor, 9.509687755131548e-05
Yong Zhang, 9.502779502456232e-05
Fang Liu, 9.291312733184175e-05
Witold Pedrycz, 9.159654224986458e-05
Wei Liu, 9.088044455802498e-05
Alberto L. Sangiovanni-Vincentelli, 9.062998434173117e-05
Licheng Jiao, 9.054039000281964e-05
Yan Zhang, 8.964011202963375e-05
Xiang Li, 8.924949886585826e-05
Mario Piattini, 8.77030168704954e-05
Yvon Savaria, 8.759316637739888e-05
Yan Li, 8.757045759012319e-05
David J. Evans, 8.646019165514895e-05
Wei Zhao, 8.631862736191031e-05
Lei Li, 8.521097914198228e-05
Minglu Li, 8.385477457657978e-05
Jing Li, 8.36479792028122e-05
Qing Li, 8.346925817780209e-05
Xianlong Hong, 8.280253482108303e-05
Jun Li, 8.255650675543822e-05
Mario Gerla, 8.151790992165258e-05
Yu Chen, 8.098964142814071e-05
Yang Xu, 8.094342574702077e-05
Tharam S. Dillon, 8.027406115457522e-05
Jiannong Cao, 7.996882944317616e-05
Elisa Bertino, 7.975921070453302e-05
Yan Wang, 7.95305289416208e-05
Philip S. Yu, 7.904077202276816e-05
Azzedine Boukerche, 7.863772796602966e-05
Hong Zhang, 7.854095286461262e-05
Ajith Abraham, 7.845321957796962e-05
Mani B. Srivastava, 7.835090136234616e-05
Ying Liu, 7.826418075094073e-05
Luc J. Van Gool, 7.79756172258558e-05
Ying Chen, 7.78768512304891e-05
Tao Zhang, 7.721288842944203e-05
Donald F. Towsley, 7.712843687402171e-05
Jun Liu, 7.671917801147302e-05
C. C. Jay Kuo, 7.625128869758413e-05
