Wen Gao, 0.00012401313071639335
Hui Li, 0.00012330323078582666
Chin-Chen Chang, 0.00012155789113614978
Xin Li, 0.00011816042342745631
Yong Zhang, 0.00011433100551674944
Wei Wang, 0.00011418939306766579
Qing Li, 0.00011370789902479058
Yan Zhang, 0.00010717607486426268
Wei Liu, 0.00010715265989243889
Wei Zhang, 0.00010684051247426157
Li Zhang, 9.897328971913328e-05
Yu Zhang, 9.855469285395953e-05
Ying Li, 9.544758462291256e-05
Jing Li, 9.488459658482037e-05
Xiaodong Wang, 9.468680055242117e-05
Yan Li, 9.368813789090804e-05
Wei Li, 9.254352922287345e-05
Ying Liu, 8.948725663577392e-05
Yong Yu, 8.929031168044768e-05
Francky Catthoor, 8.892675086632877e-05
Jian Li, 8.725189260558146e-05
Wei-Ying Ma, 8.717464224186699e-05
Hai Jin, 8.666108402959188e-05
Jian Wang, 8.523852018029665e-05
Laurence Tianruo Yang, 8.413681197740771e-05
Samuel Pierre, 8.38788358404156e-05
Lei Li, 8.327246374174167e-05
Hao Wang, 8.259999955237505e-05
Yang Yang, 8.248247554430839e-05
Xin Chen, 8.14946498437183e-05
Fang Liu, 8.141584215923699e-05
Lei Zhang, 8.126625653572787e-05
Masayuki Murata, 8.110350909961693e-05
Tao Zhang, 8.043902864329784e-05
Gang Wang, 8.018410512901535e-05
Hong Zhang, 7.973926909893576e-05
Yong Wang, 7.967609034166209e-05
Bin Li, 7.808916142631805e-05
Wei Zhao, 7.69881259922865e-05
Jing Wang, 7.671448876053606e-05
Gang Li, 7.656909818744382e-05
Tao Li, 7.635290669780309e-05
Mario Gerla, 7.552434294885482e-05
Liang Zhang, 7.516285920433627e-05
Jun Zhang, 7.46937833275883e-05
Wei Xu, 7.454573262707774e-05
C. C. Jay Kuo, 7.357036275218519e-05
Luc J. Van Gool, 7.233009163938589e-05
Elisa Bertino, 7.174076615227385e-05
Yan Chen, 7.146691397294093e-05
